address,region,house_size,property_size,sales_price,sales_date
"
          Nibblebacken 52
        ","
            Tullinge Villastad,
          Botkyrka kommun
        ","
                155
                ","
              2 134 m² tomt
            ","
            Slutpris 7 150 000 kr
        ","
            Såld 14 november 2022
          "
"
          Knäckepilsgränd 19
        ","
            Hässelby Villastad,
          Stockholms kommun
        ","
                170
                ","
              871 m² tomt
            ","
            Slutpris 7 000 000 kr
        ","
            Såld 14 november 2022
          "
"
          Nyvägen 28B
        ","
            Älta,
          Nacka kommun
        ","
                130
                ","
              1 056 m² tomt
            ","
            Slutpris 9 360 000 kr
        ","
            Såld 14 november 2022
          "
"
          Fristadsvägen 5
        ","
            Insjön,
          Nacka kommun
        ","
                177
                ","
              2 167 m² tomt
            ","
            Slutpris 14 500 000 kr
        ","
            Såld 14 november 2022
          "
"
          Humlevägen 8
        ","
            Bollstanäs,
          Upplands Väsby kommun
        ","
                114 m²
             
              5 rum
          ","
              329 m² tomt
            ","
            Slutpris 5 000 000 kr
        ","
            Såld 14 november 2022
          "
"
          Kottgränd 3
        ","
            Bollstanäs,
          Upplands Väsby kommun
        ","
                170 m²
             
              6 rum
          ","
              927 m² tomt
            ","
            Slutpris 7 750 000 kr
        ","
            Såld 14 november 2022
          "
"
          Spättvägen 3
        ","
            Sticklinge,
          Lidingö kommun
        ","
                117
                ","
              1 747 m² tomt
            ","
            Slutpris 11 500 000 kr
        ","
            Såld 14 november 2022
          "
"
          Källtorpsvägen 65
        ","
            Kallhäll,
          Järfälla kommun
        ","
                112
                ","
              1 021 m² tomt
            ","
            Slutpris 5 325 000 kr
        ","
            Såld 14 november 2022
          "
"
          Eriksbergsvägen 25A
        ","
            Helenelund,
          Sollentuna kommun
        ","
                234 m²
             
              7 rum
          ","
              813 m² tomt
            ","
            Slutpris 14 400 000 kr
        ","
            Såld 13 november 2022
          "
"
          Karlebyvägen 14
        ","
            Norra Ängby,
          Stockholms kommun
        ","
                82
                ","
              379 m² tomt
            ","
            Slutpris 10 200 000 kr
        ","
            Såld 13 november 2022
          "
"
          Gavénius väg 12
        ","
            Solgård,
          Huddinge kommun
        ","
                190
                ","
              1 063,2 m² tomt
            ","
            Slutpris 6 850 000 kr
        ","
            Såld 13 november 2022
          "
"
          Skärarevägen 6
        ","
            Nykvarn,
          Nykvarns kommun
        ","
                165 m²
             
              7 rum
          ","
              779 m² tomt
            ","
            Slutpris 3 850 000 kr
        ","
            Såld 13 november 2022
          "
"
          Brobyvägen 15
        ","
            Brottby,
          Vallentuna kommun
        ","
                114
                ","
              1 229 m² tomt
            ","
            Slutpris 2 975 000 kr
        ","
            Såld 13 november 2022
          "
"
          Stora Björknäsvägen 136
        ","
            Backa,
          Norrtälje kommun
        ","
                145 m²
             
              5 rum
          ","
              4 335 m² tomt
            ","
            Slutpris 3 900 000 kr
        ","
            Såld 13 november 2022
          "
"
          Sadelstigen 18
        ","
            Norra Sorunda,
          Haninge kommun
        ","
                124
                ","
              1 191 m² tomt
            ","
            Slutpris 5 800 000 kr
        ","
            Såld 13 november 2022
          "
